Município;Código;Gentílico;Prefeito_2017;Area_Territorial_KM2_2019;Populacao_Estimada_Pessoas_2020;Densidade_Demográfica_Hab_KM2_2010;Escolarização_6_a_14_anos_%_2010;IDHM_2010;Mortalidade_infantil_óbitos_por_mil_nascidos_vivos_2017;DespesasEmpenhadas_REAIS_X_1000_2017;PIB_per_capita_REAIS_2017
Nipoã;3532702;nipoense;JOSE LOURENCO ALVES;137.609;5298;31.01;99.2;0.713;13.51;156.470.168;17491.13
Nova Aliança;3532801;nova-aliancense;AUGUSTO DONIZETTI FAJAN;217.515;7068;27.11;99.2;0.738;22.47;2.226.994.351;28298.63
Nova Campina;3532827;nova campinense;JUCEMARA FORTES DO NASCIMENTO;385.375;9860;22.1;99.7;0.651;14.39;2.423.346.827;24785.83
Nova Canaã Paulista;3532843;novacanaense;JOSE MARCOS ALVES;124.473;1852;16.99;98.8;0.715;50;1.257.109.646;18514.13
Nova Castilho;3532868;castilhense;JOÃO TAMBORLIN NETO;183.396;1278;6.14;100;0.756;76.92;1.311.345.443;32062.61
Nova Europa;3532900;nova-europense;LUIZ CARLOS DOS SANTOS;160.25;11355;58;100;0.765;8.33;3.164.312.851;28247.09
Nova Granada;3533007;granadense;TÂNIA LIANA TOLEDO YUGAR;531.796;21689;36.06;98.6;0.739;11.81;4.610.399.641;21792.12
Nova Guataporanga;3533106;guataporanguense;VAGNER ALVES DE LIMA;34.158;2325;63.81;99.3;0.726;166.67;125.989.717;12127.1
Nova Independência;3533205;independentino;THAUANA DA SILVA PEREIRA DUARTE;265.029;4053;11.54;98;0.735;19.23;22.616.214;35842.59
Novais;3533254;novaense;FABIO DONIZETE DA SILVA;117.772;5945;38.99;100;0.719;41.67;1.645.299.792;10870.43
Nova Luzitânia;3533304;luzitaniense;LAERTE APARECIDO ROCHA;73.816;4160;46.46;98.6;0.743;32.26;1.476.697.035;11763.82
Nova Odessa;3533403;novaodessense;BENJAMIM BILL VIEIRA DE SOUZA;73.788;60956;689.48;98.4;0.791;10.85;15.954.846.645;54529.18
Novo Horizonte;3533502;novo-horizontino;TOSHIO TOYOTA;931.743;41414;39.28;97.7;0.753;9.84;10.858.142.886;31540.98
Nuporanga;3533601;nuporanguense;ARISTIDES SILVA GOES;348.265;7478;19.57;97.8;0.746;24.39;3.400.459.141;71861.01
Ocauçu;3533700;ocauçuense;ALESANDRA COLOMBO MARANA;301.036;4291;13.86;97.7;0.717;14.08;1.519.034.513;28924.27
Óleo;3533809;oleense;RUBENS ESTEVES ROQUE;198.938;2471;13.49;98.9;0.73;37.04;1.253.571.264;34154.49
Olímpia;3533908;olimpiense;FERNANDO AUGUSTO CUNHA;802.555;55130;62.32;97.4;0.773;14.95;19.287.692.923;38350.45
Onda Verde;3534005;onda-verdense;FABRICIO PIRES DE CARVALHO;242.946;4422;16.03;98.7;0.738;16.95;2.121.726.279;28621.32
Oriente;3534104;orientense;CARLOS EDUARDO BOLDORINI MORIS;218.668;6542;27.89;97.2;0.77;13.33;1.691.737.038;15302.62
Orindiúva;3534203;orindiuvense;MAURICIO BRONCA;247.378;7194;22.87;99.3;0.767;24.69;3.371.930.236;65081.16
Orlândia;3534302;orlandino;OSWALDO RIBEIRO JUNQUEIRA NETO;291.765;44360;136.34;98.3;0.78;4.26;13.741.076.196;41133.95
Osasco;3534401;osasquense;ROGERIO LINS WANDERLEY;64.954;699944;10264.8;96;0.776;11.79;2.035.375.238;111637.85
Oscar Bressane;3534500;bressanense;LUIZ ANTONIO ROMANO;222.13;2603;11.46;96.7;0.749;43.48;1.412.958.953;32093.75
Osvaldo Cruz;3534609;osvaldo-cruzense;EDMAR CARLOS MAZUCATO;248.038;33000;124.47;97.6;0.762;12.2;705.011.321;26856.49
Ourinhos;3534708;ourinhense;LUCAS POCAY ALVES DA SILVA;295.818;114352;347.78;98.2;0.778;5.91;25.548.507.149;26827.36
Ouroeste;3534757;ouroestense;LIVIA LUANA COSTA OLIVEIRA;288.648;10539;29.1;99.7;0.77;8.4;605.338.188.599.999;44407.27
Ouro Verde;3534807;ouro-verdense;JOSÉ VALENTIM FERRARI;266.778;8620;29.15;97.3;0.692;10.2;2.278.532.283;13542.39
Pacaembu;3534906;pacaembuense;MACIEL DO CARMO COLPAS;339.375;14263;39.07;98.9;0.725;18.52;3.782.193.239;14235.14
Palestina;3535002;palestinense;FERNANDO LUIZ SEMEDO;697.701;13123;15.89;96.6;0.732;7.14;3.592.185.359;31790.78
Palmares Paulista;3535101;palmarense;LUPERCIO ANTONIO BUGANÇA JUNIOR;82.125;13486;133.14;98.2;0.722;14.29;2.482.058.274;9297.76
Palmeira d'Oeste;3535200;palmeirense;JOSE CESAR MONTANARI;318.74;9227;30.02;98.5;0.753;11.49;2.393.515.202;17830.11
Palmital;3535309;palmitalense;JOSE ROBERTO RONQUI;548.407;22272;38.67;97.2;0.746;19.16;7.059.461.925;31125.19
Panorama;3535408;panoramense;GIULIO CESAR LIMA PIRES;356.05;15862;40.93;95.8;0.722;17.86;4.226.469.893;17297.86
Paraguaçu Paulista;3535507;paraguaçuense;ALMIRA RIBAS GARMS;1.001.492;45945;42.22;99.4;0.762;13.49;13.927.728.116;27292.75
Paraibuna;3535606;paraibunense;VICTOR DE CASSIO MIRANDA;809.576;18263;21.48;97.2;0.719;4.72;5.615.149.568;15031.39
Paraíso;3535705;paraisense;WILSON FARID CASSEB;155.186;6496;37.85;99.1;0.749;12.82;2.523.523.892;36360.79
Paranapanema;3535804;paranapanemense;JOSÉ MARIA ALVES;1.018.724;20395;17.48;98.1;0.717;6.45;8.276.108.345;30088.71
Paranapuã;3535903;paranapuense;SERGIO ANTONIO POLARINI;140.354;4095;27.16;98.4;0.732;14.93;1.507.136.206;24348.78
Parapuã;3536000;parapuense;GILMAR MARTIN MARTINS;366.664;10949;29.65;98.9;0.737;10.75;3.004.581.067;32352.04
Pardinho;3536109;pardinhense;BENEDITO DA ROCHA CAMARGO JUNIOR;209.894;6508;26.59;98.3;0.727;37.38;2.880.340.729;45229.31
Pariquera-Açu;3536208;pariquerense;JOSE CARLOS SILVA PINTO;359.414;19723;51.34;97.1;0.736;6.47;427.937.438;26971.18
Parisi;3536257;parasiano;ROSINEI APARECIDA SILVESTRINI DOS SANTOS;84.737;2169;24.04;99.6;0.721;51.28;1.466.202.813;22703.83
Patrocínio Paulista;3536307;patrocinense;JOSÉ MAURO BARCELLOS;602.848;14807;21.56;97.8;0.73;19.51;4.691.510.802;62782.17
Paulicéia;3536406;pauliceiense;ERMES DA SILVA;374.091;7454;16.97;94;0.711;8.55;2.994.355.696;21172.08
Paulínia;3536505;paulinense;DIXON RONAN CARVALHO;138.777;112003;592.17;97.9;0.795;6.12;118.481.035.885;344847.17
Paulistânia;3536570;paulistaniense;PAULO AUGUSTO GRANCHI;256.178;1834;6.93;97.5;0.718;47.62;1.422.611.792;19819.09
Paulo de Faria;3536604;paulo-fariense;MARLON JOSE BERNARDES PEREIRA;737.986;8959;11.63;98.5;0.725;24.69;3.391.073.375;29179.05
Pederneiras;3536703;pederneirense;VICENTE JULIANO MINGUILI CANELADA;727.482;47111;56.92;98.3;0.739;9.42;11.779.819.984;37708.52
Pedra Bela;3536802;pedra-belense;ALVARO JESIEL DE LIMA;158.587;6110;36.45;95.8;0.677;14.49;188.082.233;13185.31
Pedranópolis;3536901;pedranopolense;MARCOS ADRIANO DA SILVA;260.101;2481;9.83;100;0.742;34.48;1.580.577.599;25089.75
Pedregulho;3537008;pedregulhense;DIRCEU POLO FILHO;712.604;16811;22.03;98.4;0.715;4.63;443.100.593;58474.19
Pedreira;3537107;pedreirense;HAMILTON BERNARDES JUNIOR;108.817;48463;382.7;98.1;0.769;6.24;12.470.724.961;24218.51
Pedrinhas Paulista;3537156;pedrinhense;SERGIO FORNASIER;152.309;3101;19.28;97.3;0.774;37.04;1.696.378.292;48852.89
Pedro de Toledo;3537206;toledense;ELEAZAR MUNIZ JUNIOR;670.44;11421;15.22;99.3;0.696;25.42;3.102.067.674;13585.02
Penápolis;3537305;penapolitano;CELIO JOSE DE OLIVEIRA;711.315;63757;82.31;98.7;0.759;13.17;16.209.610.449;25186.01
Pereira Barreto;3537404;pereira-barretense;JOAO DE ALTAYR DOMINGUES;974.247;25677;25.5;98.1;0.766;3.83;8.271.309.802;31701.06
Pereiras;3537503;pereirense;MIGUEL TOMAZELA;223.136;8773;33.38;96.8;0.736;19.05;2.347.577.323;23545.84
Peruíbe;3537602;peruibense;LUIZ MAURÍCIO PASSOS DE CARVALHO PEREIRA;326.216;69001;184.4;98.6;0.749;17.26;22.494.907.246;20231.8
Piacatu;3537701;piacatuense;EUCLASIO GARRUTTI;232.488;6038;22.75;97.5;0.732;61.54;1.923.673.174;16393.58
Piedade;3537800;piedadense;JOSÉ TADEU DE RESENDE;746.868;55542;69.82;95.6;0.716;13.68;11.029.826.169;22104.36
Pilar do Sul;3537909;pilarense;ANTONIO JOSE PEREIRA;681.248;29402;38.77;93.8;0.69;18.04;6.526.658.378;22309.48
Pindamonhangaba;3538006;pindamonhangabense;ISAEL DOMINGUES;730.209;170132;201.39;98.2;0.773;13.84;3.985.650.337;42704.21
Pindorama;3538105;pindoramense;MARIA INÊS BERTINO MIYADA;184.825;17216;81.37;97.5;0.737;6.29;4.131.001.861;17733.18
Pinhalzinho;3538204;pinhalzinhense;BENEDITO LAURO DE LIMA;154.529;15388;84.81;97.8;0.725;13.33;3.375.481.331;16952.25
Piquerobi;3538303;piquerobiense;VALDIR APARECIDO LOPES;482.769;3699;7.33;99.4;0.711;52.63;1.569.345.974;14679.15
Piquete;3538501;piquetense;ANA MARIA DE GOUVÊA;175.996;13575;80.16;98.8;0.757;19.48;2.543.765.315;10963.52
Piracaia;3538600;piracaiense;JOSE SILVINO CINTRA;385.568;27462;65.15;98;0.739;2.74;7.059.298.437;17636.43
Piracicaba;3538709;piracicabano;BARJAS NEGRI;1.378.069;407252;264.47;97.5;0.785;8.98;152.917.760.687;55111.15
Piraju;3538808;pirajuense;JOSE MARIA COSTA;504.591;29869;56.44;98.3;0.758;7.81;8.033.940.458;23505.7
Pirajuí;3538907;pirajuiense;CESAR HENRIQUE DA CUNHA FIALA;823.758;25719;27.55;97.3;0.749;14.65;5.550.857.773;18034.04
Pirangi;3539004;piranginense;LUIZ CARLOS DE MORAES;215.809;11471;49.3;97.8;0.756;15.5;2.958.445.405;26161.21
Pirapora do Bom Jesus;3539103;piraporense;GREGÓRIO RODRIGUES PONTES MAGLIO;108.489;19178;144.98;97.5;0.727;15.09;538.756.971;21798.12
Pirapozinho;3539202;pirapozense;ORLANDO PADOVAN;477.673;27754;51.66;98.8;0.776;17.86;6.625.808.534;35603.9
Pirassununga;3539301;pirassununguense;ADEMIR ALVES LINDO;727.118;76877;96.38;98.2;0.801;13.68;21.399.723.691;34524.48
Piratininga;3539400;piratiningano;CARLOS ALESSANDRO FRANCO BORRO DE MATOS;402.409;13765;30;98.4;0.779;11.3;3.660.663.632;16317.28
Pitangueiras;3539509;pitangueirense;MARCOS AURÉLIO SORIANO;430.638;40080;81.99;99;0.723;8.42;10.347.789.997;30432.76
Planalto;3539608;planaltense;ADEMAR ADRIANO DE OLIVEIRA;289.825;5304;15.38;99.2;0.719;33.9;2.254.537.217;43493.17
Platina;3539707;platinense;WAGNER ROBERTO DE LIMA;327.48;3578;9.77;98.5;0.719;21.74;1.615.193.922;26033.76
Poá;3539806;poaense;GIANCARLO LOPES DA SILVA;17.264;118349;6141.05;97.6;0.771;18.19;3.945.058.237;36511.34
Poloni;3539905;poloniense;ANTONIO JOSE PASSOS;135.12;6113;40.4;99.5;0.766;14.49;194.140.428;24254.28
Pompéia;3540002;pompeiano;ISABEL CRISTINA ESCORCE JANUÁRIO;784.674;22172;25.46;98.6;0.786;19.23;7.394.540.026;38105.48
Pongaí;3540101;pongaiense;ADILSON BRUMATI;183.399;3400;18.99;97.4;0.755;33.33;1.546.844.883;21916.56
Pontal;3540200;pontalense;ANDRE LUIS CARNEIRO;356.371;50852;112.94;94.5;0.725;5.36;9.150.481.147;25478.32
Pontalinda;3540259;pantalindense;ELVIS CARLOS DE SOUSA;209.525;4674;19.38;98.3;0.702;54.55;1.865.277.949;18724.91
Pontes Gestal;3540309;pontes-gestalense;NATANAEL BORGES DOS SANTOS;217.505;2577;11.58;97.8;0.732;29.41;2.241.752.102;58746.11
Populina;3540408;populinense;ADAUTO PINTO;315.938;4152;13.37;99.6;0.714;25;2.175.022.199;23201.35
Porangaba;3540507;porangabense;LUIZ CARLOS VIEIRA SOBRINHO;265.689;10067;31.34;94.7;0.703;20.2;2.403.870.298;19146.57
Porto Feliz;3540606;porto-felicense;ANTONIO CASSIO HABICE PRADO;556.706;53402;87.83;98.2;0.758;9.47;20.734.370.731;36690.02
Porto Ferreira;3540705;ferreirense;RÔMULO LUÍS DE LIMA RIPA;244.906;56504;209.88;98.1;0.751;5.36;15.862.332.425;35629.57
Potim;3540754;potinense;ERICA SOLER SANTOS DE OLIVEIRA;44.468;25130;436.2;99.3;0.697;23.81;4.049.958.409;9687.2
Potirendaba;3540804;potirendabano;FLAVIO DANIEL ALVES;342.492;17516;45.12;98;0.747;4.61;5.652.412.938;31267.11
Pracinha;3540853;pracinhense;MAURILEI APARECIDO DIAS DA SILVA;63.054;4212;45.48;100;0.696;-;1.083.880.943;7485.94
Pradópolis;3540903;pradopolense;SILVIO MARTINS;167.378;21873;103.82;96.3;0.733;4.41;5.791.505.729;40953.77
Praia Grande;3541000;praia-grandense;ALBERTO PEREIRA MOURÃO;149.253;330845;1781.87;96.9;0.754;13.83;128.266.266.264;21574.5
Pratânia;3541059;pratino;DAVI PIRES BATISTA;175.1;5317;26.26;97.7;0.701;14.71;1.842.579.704;21916.56
Presidente Alves;3541109;alvense;VALDEIR DOS REIS;286.642;4080;14.36;98.9;0.735;16.13;1.399.772.865;15233.86
Presidente Bernardes;3541208;bernardense;LUCCAS INAGUE RODRIGUES;749.233;13023;18.12;98.5;0.757;30.3;3.935.506.732;18921.16
Presidente Epitácio;3541307;epitaciano;CASSIA REGINA ZAFFANI FURLAN;1.260.281;44389;32.79;98.8;0.75;11.21;8.747.982.225;19432.67
Presidente Prudente;3541406;prudentino;NELSON ROBERTO BUGALHO;560.637;230371;368.89;97.8;0.806;10.2;64.655.234.024;34655.21
Presidente Venceslau;3541505;venceslauense;JORGE DURAN GONÇALEZ;755.203;39583;50.1;98.6;0.763;7.08;11.761.184.149;18255.45
Promissão;3541604;promissense;ARTUR MANOEL NOGUEIRA FRANCO;779.2;40828;45.78;96.7;0.743;16.55;9.670.177.294;46224.65
Quadra;3541653;quadrense;LUIZ CARLOS PEREIRA;205.672;3854;15.73;98.3;0.678;19.23;1.842.621.274;24157.62
Quatá;3541703;quataense;MARCELO DE SOUZA PECCHIO;651.341;14210;19.68;98.7;0.738;6.71;4.418.177.808;32962.28
Queiroz;3541802;queirozense;ANA VIRTUDES MIRON SOLER;234.914;3460;12.01;98.1;0.715;19.61;1.908.298.897;112903.88
Queluz;3541901;queluzense;LAURINDO JOAQUIM DA SILVA GARCEZ;249.399;13606;45.27;98;0.722;9.01;3.367.443.423;25107.37
Quintana;3542008;quintanense;JOSÉ NILTON DOS SANTOS;318.937;6688;18.79;98.1;0.732;23.53;2.232.100.397;24080.77
Rafard;3542107;rafardense;ILSON DONIZETE MAIA;121.645;9101;70.8;98.3;0.745;9.26;3.469.974.755;36010.94
Rancharia;3542206;ranchariense;ALBERTO CESAR CENTEIO DE ARAUJO;1.587.498;29726;18.14;97.5;0.751;22.96;8.519.820.751;44388.59
Redenção da Serra;3542305;rendencense;RICARDO EVANGELISTA LOBATO;309.441;3839;12.52;95.2;0.657;20;1.577.990.827;14593.53
Regente Feijó;3542404;regentense;MARCO ANTONIO PEREIRA DA ROCHA;263.28;20394;69.77;98.8;0.768;4.03;5.764.713.876;32820.69
Reginópolis;3542503;reginopolitano;CAROLINA ARAÚJO DE SOUSA VERÍSSIMO;410.406;9837;17.83;98.8;0.728;15.38;2.158.924.047;16273.37
Registro;3542602;registrense;GILSON WAGNER FANTIN;722.201;56393;75.11;97.3;0.754;6.31;16.356.212.876;34572.53
Restinga;3542701;restinguense;AMARILDO TOMAS DO NASCIMENTO;245.746;7679;26.8;98.6;0.705;17.54;2.447.316.489;22554.6
Ribeira;3542800;ribeirense;JONAS DIAS BATISTA;335.759;3330;10;97;0.698;63.83;1.501.425.486;13953.9
Ribeirão Bonito;3542909;ribeirão-bonitense;FRANCISCO JOSE CAMPANER;471.553;13299;25.73;98.7;0.712;14.18;3.354.051.695;20914.86
Ribeirão Branco;3543006;ribeirão-branquense;MAURO JOSÉ TEIXEIRA;697.5;16211;26.19;97.5;0.639;33.71;3.896.385.758;22085.84
Ribeirão Corrente;3543105;ribeirão-correntense;ANTONIO MIGUEL SERAFIM;148.332;4752;28.81;100;0.711;30.3;1.957.753.411;18701.75
Ribeirão do Sul;3543204;ribeirão-sulense;ELIANA MARIA RORATO MANSO;203.208;4539;21.83;99;0.747;22.22;1.892.958.248;31053.11
Ribeirão dos Índios;3543238;ribeirindio;JOSÉ AMAURI LENZONI;196.446;2224;11.14;98.6;0.721;45.45;1.254.409.571;16817.93
Ribeirão Grande;3543253;ribeirão grandense;ELIANA DOS SANTOS SILVA;333.363;7679;22.26;96.8;0.705;11.49;2.467.096.158;38485.65
Ribeirão Pires;3543303;ribeirão-pirense;ADLER ALFREDO JARDIM TEIXEIRA;99.075;124159;1140.73;97.4;0.784;9.15;27.371.116.042;25002.17
Ribeirão Preto;3543402;ribeirão-pretano;ANTONIO DUARTE NOGUEIRA JUNIOR;650.916;711825;928.92;96.9;0.8;9.19;249.764.250.729;51759.84
Riversul;3543501;riversulense;JOSÉ GUILHERME GOMES;385.878;5443;15.96;95.9;0.664;15.87;1.803.281.346;11204.04
Rifaina;3543600;rifainense;HUGO CESAR LOURENÇO;162.508;3640;21.14;99.2;0.74;23.26;2.780.257.514;30891.69
Rincão;3543709;rinconense;EDSON BRITO BOLITO;316.639;10812;32.96;98.2;0.734;7.75;2.917.087.756;19751.06
Rinópolis;3543808;rinopolense;JOSE FERREIRA DE OLIVEIRA NETO;358.481;9961;27.73;98.6;0.723;28.57;2.576.917.976;23968.34
Rio Claro;3543907;rio-clarense;JOAO TEIXEIRA JUNIOR;498.422;208008;373.69;98.2;0.803;11.81;73.241.203.469;46406.99
Rio das Pedras;3544004;rio-pedrense;ANTONIO CARLOS DEFAVARI;226.657;35738;130.16;98.4;0.759;5.15;9.462.713.742;35189.43
Rio Grande da Serra;3544103;riogranserrense ou serrano ou riogransense;LUIS GABRIEL FERNANDES DA SILVEIRA;36.341;51436;1210.04;98.2;0.749;8;7.289.705.085;12365.16
Riolândia;3544202;riolandense;FABIANA BARCELOS FERREIRA;631.897;12689;16.7;96.7;0.703;9.09;3.488.575.768;18728.6
Rosana;3544251;rosanense;SILVIO GABRIEL;744.011;16281;26.51;98.1;0.764;13.04;8.095.572.407;70531.04
Roseira;3544301;roseirense;JONAS POLYDORO;130.654;10801;73.47;98.7;0.737;37.59;3.001.964.446;26969.85
Rubiácea;3544400;rubiacense;LENIRA MARIA SILVA DE NOVAIS;236.484;3162;11.52;99.5;0.721;28.57;1.322.927.953;20359.91
Rubinéia;3544509;rubineiense;APARECIDO GOULART;242.877;3170;11.78;100;0.759;43.48;2.009.432.874;26297.1
Sabino;3544608;sabinense;EDER RUIZ MAGALHAES DE ANDRADE;305.285;5614;16.78;97.2;0.728;17.86;2.100.327.135;21285.04
Sagres;3544707;sagrense;RICARDO RIVED GARCIA;147.935;2430;16.2;99.2;0.73;38.46;115.076.192;17651.47
Sales;3544806;salense;GENIVALDO DE BRITO CHAVES;308.555;6407;17.67;100;0.751;17.24;2.715.044.214;23167.99
Sales Oliveira;3544905;salense;EDMAR DUARTE GOMIERO;305.776;11998;34.58;98.8;0.772;7.52;3.653.791.764;30865.62
Salesópolis;3545001;salesopolense;VANDERLON OLIVEIRA GOMES;424.997;17252;36.79;98.4;0.732;5.32;3.824.498.838;11869
Salmourão;3545100;salmourense;AILSON JOSE DE ALMEIDA;172.934;5337;27.96;98.3;0.719;27.03;145.034.334;13585.47
Saltinho;3545159;saltinhense;CARLOS ALBERTO LISI;99.738;8393;70.78;96.8;0.791;21.51;2.464.291.731;29231.2
Salto;3545209;saltense;JOSE GERALDO GARCIA;133.057;119736;792.13;98.4;0.78;7.73;3.222.559.574;59118.2
Salto de Pirapora;3545308;saltense;JOEL DAVID HADDAD;280.509;45860;143.02;98.6;0.729;12.94;119.093.116;36783.17
Salto Grande;3545407;salto-grandense;JOÃO CARLOS RIBEIRO;188.441;9364;46.64;96.5;0.704;9.17;2.633.254.072;22588.75
Sandovalina;3545506;sandovalino ou sandovalinense;AMANDA LIMA DE OLIVEIRA;455.856;4354;8.13;98.2;0.709;18.87;2.594.594.712;95062.51
Santa Adélia;3545605;santa-adeliense;GUILHERME COLOMBO DA SILVA;330.269;15561;43.32;100;0.76;10.93;4.128.203.322;21085.42
Santa Albertina;3545704;santa-albertinense;VANDERCI NOVELLI;272.692;6022;20.98;98.8;0.728;46.15;2.566.663.718;32341.25
Santa Bárbara d'Oeste;3545803;barbarense;DENIS EDUARDO ANDIA;271.03;194390;664.49;98.4;0.781;9.95;50.826.275.516;28635.77
Santa Branca;3546009;santa-branquense;CELSO SIMÃO LEITE;272.238;14857;50.56;98.8;0.735;48.78;4.300.441.533;16811.09
Santa Clara d'Oeste;3546108;santa-clarense;WAIR JACINTO ZAPELÃO;183.458;2113;11.36;98.5;0.733;48.78;1.531.284.899;31470.7
Santa Cruz da Conceição;3546207;santa-cruzense;PATRICIA CAPODIFOGLIO LANDGRAF;150.13;4544;26.66;99.6;0.79;30.3;2.175.271.564;26735.94
Santa Cruz da Esperança;3546256;santacruzense;DIMAR DE BRITO;148.062;2153;13.19;86.2;0.743;66.67;1.468.003.002;26352.5
Santa Cruz das Palmeiras;3546306;palmeirense;JOSÉ CRECENTINO BUSSAGLIA;295.337;34737;101.35;97.3;0.728;12.69;7.508.550.382;15002.54
Santa Cruz do Rio Pardo;3546405;santa-cruzense;OTACILIO PARRAS ASSIS;1.114.747;47943;39.44;96.3;0.762;9.04;14.003.527.044;43319.09
Santa Ernestina;3546504;santa-ernestinense;MARCELO APARECIDO VERONEZI;134.421;5588;41.42;99.2;0.738;16.95;1.714.222.391;16260.61
Santa Fé do Sul;3546603;santa-fé-sulense;ADEMIR MASCHIO;206.537;32563;141.81;97.9;0.784;6.9;14.327.066.428;31876.28
Santa Gertrudes;3546702;santa-gertrudense;ROGERIO PASCON;98.291;27381;220.1;98.3;0.737;3.16;9.570.211.402;61314.55
Santa Isabel;3546801;isabelense;FÁBIA DA SILVA PORTO ROSSETTI;363.332;57966;138.87;97.8;0.738;9.75;13.902.052.821;24165.96
Santa Lúcia;3546900;santa-luciense;LUIZ ANTONIO NOLI;154.033;8854;53.55;98.6;0.737;20.2;1.796.846.151;14542.29
Santa Maria da Serra;3547007;serrense;NARCISO BENEDITO BISTAFA;252.621;6236;21.43;97.5;0.686;12.35;1.858.887.639;21028.36
Santa Mercedes;3547106;mercedense;MANOEL DONIZETE DE OLIVEIRA;166.753;2943;16.96;98.8;0.739;27.03;1.355.866.328;26205.46
Santana da Ponte Pensa;3547205;santanense-da-ponte-pensa;JOSÉ APARECIDO DE MELO;129.888;1467;12.6;100;0.773;111.11;1.113.800.382;22221.48
Santana de Parnaíba;3547304;parnaibano;ELVIS LEONARDO CEZAR;179.949;142301;604.74;97.3;0.814;8.32;6.943.226.095;65083.16
Santa Rita d'Oeste;3547403;santa-ritense;ALAOR PASIAN;209.8;2487;12.1;100;0.761;52.63;1.555.707.891;22250.51
Santa Rita do Passa Quatro;3547502;santa-ritense;LEANDRO LUCIANO DOS SANTOS;754.141;27600;35.11;97.8;0.775;20.16;7.946.384.533;23239.54
Santa Rosa de Viterbo;3547601;santa-rosense;LUIS FERNANDO GASPERINI;288.576;26753;82.69;97.9;0.77;8.2;6.103.555.143;29492.87
Santa Salete;3547650;saletense;JEDER FABIANO SANTIAGO SOUZA;79.192;1552;18.23;100;0.772;-;1.288.079.665;21909.51
Santo Anastácio;3547700;anastaciano;ROBERTO VOLPE;552.876;20866;37.06;98.5;0.753;22.83;4.406.392.075;20082.06
Santo André;3547809;andreense;PAULO HENRIQUE PINTO SERRA;175.782;721368;3848.01;97.4;0.815;7.59;230.185.231.093;38408.12
Santo Antônio da Alegria;3547908;alegriense;JOÃO BAPTISTA MATEUS DE LIMA;310.311;6977;20.32;97.5;0.702;25.64;2.201.369.989;21278.13
Santo Antônio de Posse;3548005;possense;NORBERTO DE OLIVERIO JUNIOR;154.133;23529;134.09;97.3;0.702;15.27;7.699.472.169;45783.3
Santo Antônio do Aracanguá;3548054;aracanguaense;RODRIGO APARECIDO SANTANA RODRIGUES;1.308.432;8481;5.83;98.9;0.757;29.13;4.116.792.738;25933.29
Santo Antônio do Jardim;3548104;jardinense;GILMAR DE OLIVEIRA PEZOTTI;109.956;5940;54.05;97;0.714;39.22;1.622.615.253;22749.99
Santo Antônio do Pinhal;3548203;pinhalense;CLODOMIRO CORREIA DE TOLEDO JUNIOR;133.008;6827;48.76;98.3;0.706;21.51;2.484.380.549;15246.65
Santo Expedito;3548302;expeditense;IVANDECI JOSÉ CABRAL;94.465;3135;29.68;99.1;0.732;30.3;116.784.444;12463.29
Santópolis do Aguapeí;3548401;santopolitano;HAROLDO ALVES PIO;128.026;4817;33.44;98.6;0.74;16.95;1.449.899.071;12975.63
Santos;3548500;santista;PAULO ALEXANDRE PEREIRA BARBOSA;281.033;433656;1494.26;98.2;0.84;9.02;2.489.780.313;51829.99
São Bento do Sapucaí;3548609;são-bentista;RONALDO RIVELINO VENÂNCIO;252.579;10893;41.37;98.5;0.72;8.2;2.964.338.366;18007.82
São Bernardo do Campo;3548708;são-bernardense;ORLANDO MORANDO JUNIOR;409.532;844483;1869.36;97.6;0.805;9.29;357.482.853.686;53998.54
São Caetano do Sul;3548807;sul-caetanense;JOSE AURICCHIO JUNIOR;15.331;161957;9736.03;97.4;0.862;6.54;115.817.091.112;82119.69
São Carlos;3548906;são-carlense;AIRTON GARCIA FERREIRA;1.136.907;254484;195.15;97.9;0.805;7.74;71.903.629.493;42568.73
São Francisco;3549003;são-francisquense;MAURICIO HONORIO DE CARVALHO;75.579;2817;36.94;100;0.723;51.28;1.437.734.253;16836.96
São João da Boa Vista;3549102;são-joanense;VANDERLEI BORGES DE CARVALHO;516.399;91771;161.96;97.2;0.797;15.97;31.394.732.844;32449.24
São João das Duas Pontes;3549201;são-joanense;JOSÉ CARLOS BARUCI;129.462;2561;19.84;99.4;0.72;33.33;136.876.726;16159.83
São João de Iracema;3549250;iracemense;LUCIANA DIAS RODRIGUES;178.396;1932;9.97;98.1;0.748;153.85;1.481.882.878;18311.12
São João do Pau d'Alho;3549300;são-joanense;FERNANDO BARBERINO;117.665;2100;17.86;99.2;0.75;43.48;1.226.472.769;25857.96
São Joaquim da Barra;3549409;joaquinense;MARCELO DE PAULA MIAN;410.863;52319;113.28;96.7;0.762;8.53;11.725.073.056;30118.29
São José da Bela Vista;3549508;bela-vistense;PAULO CÉSAR LOPES DO NASCIMENTO;276.952;8960;30.35;97.9;0.693;21.28;2.692.364.328;18123.9
São José do Barreiro;3549607;barreirense;ALEXANDRE DE SIQUEIRA BRAGA;570.685;4144;7.14;95.5;0.684;24.39;1.763.631.202;11226.65
São José do Rio Pardo;3549706;rio-pardense;ERNANI CHRISTOVAM VASCONCELLOS;419.684;55124;123.81;97.6;0.774;5.67;16.263.164.764;31557.36
