Município;Código;Gentílico;Prefeito_2017;Area_Territorial_KM2_2019;Populacao_Estimada_Pessoas_2020;Densidade_Demográfica_Hab_KM2_2010;Escolarização_6_a_14_anos_%_2010;IDHM_2010;Mortalidade_infantil_óbitos_por_mil_nascidos_vivos_2017;DespesasEmpenhadas_REAIS_X_1000_2017;PIB_per_capita_REAIS_2017
Barbosa;3505104;barbosano;PAULO CÉSAR BALIEIRO;205.212;7468;32.14;98.4;0.699;11.36;2.006.111.119;12333.85
Bariri;3505203;baririense;FRANCISCO LEONI NETO;444.405;35558;71.14;96.3;0.75;9.98;9.291.584.917;33129.26
Barra Bonita;3505302;barra-bonitense;JOSÉ LUIS RICI;150.121;36126;235.12;99.8;0.788;13.42;1.034.400.716;38198.66
Barra do Chapéu;3505351;barrense;JANETE SARTI DO AMARAL;405.681;5760;12.93;96.9;0.66;27.78;1.645.513.088;14427.42
Barra do Turvo;3505401;barra-turvense;JEFFERSON LUIZ MARTINS;1.007.684;7632;7.67;95.6;0.641;12.05;3.200.527.199;10060.79
Barretos;3505500;barretense;GUILHERME HENRIQUE DE ÁVILA;1.566.161;122833;71.6;97.8;0.789;14.57;54.357.856.644;36834.01
Barrinha;3505609;barrinhense;MITUO TAKAHASI;146.025;33180;195.66;97.5;0.725;8.51;7.259.476.774;14691.77
Barueri;3505708;barueriense;RUBENS FURLAN;65.701;276982;3665.21;97.8;0.786;8.47;245.013.078.723;177747.83
Bastos;3505807;bastense;MANOEL IRONIDES ROSA;170.912;20953;118.95;98.5;0.751;10.34;5.041.974.043;49737.57
Batatais;3505906;batataense;JOSE LUIS ROMAGNOLI;849.526;62980;66.48;97.7;0.761;14.75;15.720.301.525;24063.75
Bauru;3506003;bauruense;CLODOALDO ARMANDO GAZZETTA;667.684;379297;515.12;96.9;0.801;12.98;117.232.348.483;37051.72
Bebedouro;3506102;bebedourense;FERNANDO GALVÃO MOURA;683.192;77555;109.81;98.5;0.78;9.88;26.294.413.955;41929.78
Bento de Abreu;3506201;bento-abreuense;GENIVAL PRATES ALVES;301.687;3005;8.87;97.9;0.744;32.26;1.617.083.182;58041.53
Bernardino de Campos;3506300;bernardinense;ODILON RODRIGUES MARTINS;244.158;11158;44.12;98.3;0.734;20.27;2.949.533.563;21168.91
Bertioga;3506359;bertioguense;CAIO ARIAS MATHEUS;491.546;64723;97.21;98.1;0.73;16.27;34.953.846.811;27093.33
Bilac;3506409;bilaquense;VITOR OSMAR BOTINI;158.025;8117;44.63;99;0.768;26.67;2.529.308.059;23593.57
Birigui;3506508;biriguiense;CRISTIANO SALMEIRÃO;530.031;124883;204.79;98;0.78;14.67;35.071.805.117;26071.64
Biritiba Mirim;3506607;biritibano;JARBAS EZEQUIEL DE AGUIAR;317.406;32936;90.03;97.7;0.712;15.23;6.401.243.166;22162.33
Boa Esperança do Sul;3506706;boa-esperancense;FABIO LUIS DE SOUZA;690.748;15018;19.75;96;0.681;17.65;4.019.062.552;24812.08
Bocaina;3506805;bocainense;MARCO ANTONIO GIRO;363.926;12452;29.84;99.3;0.742;32;3.744.281.588;18705.27
Bofete;3506904;bofetense;DIRCEO ANTONIO LEME DE MELO;653.541;11921;14.72;95.1;0.705;8.06;3.295.507.294;14637.88
Boituva;3507001;boituvense;FERNANDO LOPES DA SILVA;248.954;62170;194.07;98.7;0.78;11.1;19.051.618.094;46569.95
Bom Jesus dos Perdões;3507100;perdoense;SERGIO FERREIRA;108.366;25985;181.87;97.7;0.713;12.16;6.784.087.637;35962.34
Bom Sucesso de Itararé;3507159;bom sucessiense;LUIZ HUMBERTO CAMPOS;133.578;3984;26.73;98.3;0.66;14.29;1.489.340.022;13624.33
Borá;3507209;boraense;WILSON FERREIRA COSTA;118.951;838;6.8;94.6;0.746;-;977.339.024;88396.67
Boracéia;3507308;boraceense;MARCOS VINICIO BILANCIERI;122.11;4868;34.95;99.3;0.754;18.18;222.448.319;59192.14
Borborema;3507407;borboremense;VLADIMIR ANTONIO ADABO;552.256;16164;26.31;98.3;0.73;13.25;4.163.090.222;25908.07
Borebi;3507456;borebiense;ANTONIO CARLOS VACA;347.989;2683;6.59;99.5;0.705;55.56;1.568.580.692;24244.96
Botucatu;3507506;botucatuense;MARIO EDUARDO PARDINI AFFONSECA;1.482.642;148130;85.88;97.8;0.8;13.99;34.809.799.717;30100.24
Bragança Paulista;3507605;bragantino;JESUS ADIB ABI CHEDID;512.584;170533;286.26;97;0.776;8.54;41.956.918.644;34553.72
Braúna;3507704;braunense;FLAVIO ADALBERTO RAMOS GIUSSANI;195.176;5741;25.7;98.6;0.737;15.63;1.704.980.737;17011.09
Brejo Alegre;3507753;brejoalegrense;ADRIANO MARCELO BONILHA;105.689;2889;24.41;95.9;0.71;28.57;1.794.573.318;68785.63
Brodowski;3507803;brodosquiano;JOSE LUIZ PEREZ;278.458;25277;75.8;97.5;0.755;9.09;6.888.722.289;26538.75
Brotas;3507902;brotense;LEANDRO CORRÊA;1.101.373;24636;19.59;99.1;0.74;7.33;8.049.501.377;33700.04
Buri;3508009;buriense;OMAR YAHYA CHAIN;1.196.462;19965;15.52;98.5;0.667;13.16;6.141.611.714;18670.83
Buritama;3508108;buritamense;RODRIGO ZACARIAS DOS SANTOS;326.921;17281;47.19;96.7;0.763;5.59;6.092.304.761;35870.84
Buritizal;3508207;buritinense;AGLIBERTO GONÇALVES;266.42;4514;15.21;99.4;0.735;55.56;2.245.155.903;40391.93
Cabrália Paulista;3508306;cabraliense;JOSÉ MADRIGAL RUDA FILHO;239.974;4243;18.19;97.5;0.694;38.46;1.597.261.734;19410.62
Cabreúva;3508405;cabreuvano;HENRIQUE MARTIN;260.234;50429;159.87;97.3;0.738;16.62;19.273.091.119;89694.92
Caçapava;3508504;caçapavense;FERNANDO CID DINIZ BORGES;368.99;95018;229.66;98;0.788;9.5;22.230.583.405;44013.99
Cachoeira Paulista;3508603;cachoeirense;EDSON MENDES MOTA;287.99;33581;104.49;98;0.764;17.33;7.832.961.452;18044.77
Caconde;3508702;cacondense;JOSÉ BENTO FELIZARDO FILHO;468.214;19009;39.44;97.7;0.72;14.15;4.867.607.968;18060.11
Cafelândia;3508801;cafelandense;LUIS ZAMPIERI RIBEIRO PAULIQUEVIS;920.28;17843;18.05;96.7;0.742;8.89;5.871.812.186;26542.48
Caiabu;3508900;caiabuense;DARIO MARQUES PINHEIRO;253.352;4193;16.11;98.9;0.729;20.83;1.559.789.667;14390.13
Caieiras;3509007;caieirense;GERSON MOREIRA ROMERO;97.642;102775;900.37;94.8;0.781;7.54;23.756.495.633;33491.19
Caiuá;3509106;caiuense;RUTE ALMEIDA DOS SANTOS LIMA;551.159;5946;9.16;99.3;0.697;46.51;261.710.968;13633.51
Cajamar;3509205;cajamarense;DANILO BARBOSA MACHADO;131.386;77934;488.18;96.5;0.728;13.52;3.864.984.297;202962.5
Cajati;3509254;cajatiense;LUCIVAL JOSÉ CORDEIRO;454.436;28494;62.43;98.4;0.694;10.06;842.043.461;54220.11
